followers_count,following_count,tweet_count,listed_count
44975,16,5664,273
4365836,296,1014722,29069
1179429,488,256607,6315
19680028,732,16523,26805
58726,4458,75780,307
7809,285,1761,207
613995,7140,47912,407
311855,6160,43666,3930
6259619,670,775474,8853
425193,1263,22055,2412
69801,863,4344,1031
2116933,62,18915,8191
1224253,383,14064,746
25556161,11,24081,18003
1548415,114,30327,688
5878916,59,14497,11673
13907709,93,491766,48741
85839,1418,12101,1676
2355756,5045,41393,13748
237756,42915,203201,1178
4668896,853,496661,38245
671786,1,31174,402
11358882,5586,600205,82377
3552945,1514,37407,34842
439423,855,30062,3961
326749,236515,2125,873
339586,12636,51324,5780
2229655,0,11211,13165
1179432,488,256607,6315
3243162,3863,139559,31076
45020,3831,28094,827
170431,2176,18600,1069
36490341,18,345836,131158
11718,43,877,11
124964,507,1651,997
971378,65200,333070,3195
747302,53,43018,10198
6919452,0,557732,6103
51117,372,26136,229
29401294,309,16315,5721
113076,482,22646,144
854026,8135,10667,2501
14667,2912,31451,507
3262485,875,12057,1608
310186,4076,14237,4121
8621912,590,335401,55929
38528,1206,13000,701
150038,270,161304,4119
10220580,1558,18151,23728
58079726,1104,373314,154346
17063968,14,937546,14165
23237,360,2285,192
121314,887,20319,435
1011129,1600,27948,4312
772788,8937,76666,2066
1202757,2251,621510,3307
25556162,11,24081,18003
17388,18367,22017,26
9515947,3552,60022,52537
1598849,1391,27502,5159
6459,208,1888,31
4061472,1035,7225,8388
149778,1464,13297,1868
15809371,6826,318198,104352
25160865,1218,853693,133989
487131,2836,46244,6048
157627,5371,45622,1611
2289331,8,12740,1102
3692316,406,1262628,26128
8930951,67769,230458,70165
204891,1361,39748,1200
3411622,816,392433,2920
1933635,132527,15125,8253
119232,26852,6030,82
409599,33,254691,10761
44420,216,12320,223
75866,158,4758,849
96624,3037,29768,901
3933983,7058,432799,35576
17253,16913,74444,14
871675,4314,208102,785
31472829,960,13382,42407
425193,1263,22055,2412
9103562,1857,338239,50542
252491,551,13484,1364
7769323,23,522611,30022
8603,866,3370,528
52927386,877,471442,215313
2947,1910,16378,1
106805,38,1375,39
15111,2127,8917,497
4654991,1044,113864,9151
178067,0,170984,1030
22425,609,17152,272
5689,94,9207,34
54494,522,144564,2089
55731,1941,7894,748
210219,292,227542,1512
13907712,93,491766,48741
8262494,36,199344,13775
2774963,241083,373140,18507
3398692,149,17638,823
9103562,1857,338239,50542
7742,1781,68422,29
1475,1049,49200,8
2431465,616,30298,8174
7351,822,2858,51
36490351,18,345836,131158
170431,2176,18600,1069
507,990,4854,9
2355756,5045,41393,13748
3638,1118,23349,150
169491,463,6174,55
1236946,353,101102,7551
1286976,193,6542,2689
423886,1116,20289,119
548241,1108,23092,7964
3623499,6829,76021,33779
25069,499,2810,785
19160078,1714,426917,106519
7769324,23,522611,30022
538182,1322,68250,6449
1679001,1049,91790,7926
13117,10801,63960,1
6099958,941,39854,15202
249984,900,4367,819
86101,644,38314,2562
795232,7356,228161,14222
52927392,877,471442,215313
7406066,430,13029,24651
4357936,0,1716,8457
940296,250951,21209,2593
44973,1825,12154,542
11060,1507,18141,89
1600,1255,4559,2
352,192,4082,1
48518,961,50834,366
1070191,1068,20121,1012
971378,65200,333070,3195
6673985,142,6919,15371
61,52,148,0
5207624,768,848921,7563
2298603,5782,88763,7472
47593,2287,13629,995
444857,784,221438,6075
107436,2345,99212,723
311855,6160,43666,3930
7731693,1705,385737,30979
12804668,6,7380,16041
8621912,590,335401,55929
1105822,2588,21686,3777
3638170,409,901206,4732
1163429,176,619035,5679
19026178,523,392542,105845
1060887,474,188919,8369
73115,5971,84050,1358
242950,502,8192,2174
13675304,1,227339,15481
3552817,1514,37407,34838
15809372,6826,318198,104352
2431465,616,30298,8174
2551121,4460,35134,8546
1367361,5996,40340,4523
177330,85634,257794,230
51004,42069,16402,41
2072223,107,27944,1241
6919428,0,557732,6103
1452511,1076,17587,12212
51416611,10911,14116,61913
58079741,1104,373314,154346
225139,10879,144252,932
485709,2111,171474,4758
7786,7501,34801,10
1372088,304,309268,15935
509773,1615,7584,3627
10152,1515,6476,117
33601,1381,36382,256
1145150,10382,50748,3950
333241,453,46767,3469
79817,8065,322818,312
366868,1368,42241,6926
96011,501,7923,320
3411019,24094,22784,14496
293544,1324,10859,1219
127402,755,48354,2862
293544,1324,10859,1219
41847,394,32355,378
933635,11395,33051,5040
1141,902,40203,0
4412053,459,5725,10315
32641,184,2040,316
1270122,7912,41907,9199
5870155,329,4315,12032
29343,1203,29190,519
13325,4497,32573,135
58079666,1104,373314,154337
302304,6,22397,789
490224,66,1156,322
152555,4293,63426,851
58079744,1104,373314,154346
4365727,296,1014723,29069
887669,133,329140,2535
168682,5550,234295,1229
2575442,775,375695,8398
57917,581,21375,149
45020,3831,28094,827
319491,2602,315221,3253
13907716,93,491766,48741
1660590,375,617234,2922
58079745,1104,373314,154346
267971,341,5411,2887
600344,604,308024,8196
5239,1901,26608,23
1726,1011,29721,8
425182,204,18556,1415
282839,1391,139152,1779
98665,1613,21564,485
852862,55,16102,135
10440,6945,30364,218
445426,7598,10979,6868
25160941,1218,853693,134001
448117,4819,56663,7232
58079749,1104,373314,154346
30304,2547,48073,436
494294,33453,58308,1176
1177009,209,3242,5689
7769325,23,522612,30022
39868,807,15590,3
1074179,88747,305347,4634
19839800,1065,371722,125454
25556162,11,24081,18003
35326,34391,104048,57
45447,403,159079,91
19160078,1714,426917,106519
198738,2620,27624,3433
2377439,2,5803,4789
49757,1937,18820,822
2229609,0,11211,13166
65234,2754,49126,732
751132,600,57269,4736
339283,402,17650,218
2229609,0,11211,13166
12233664,1790,19838,50463
1993806,1081,9596,4542
33814,11964,21363,319
4863,4729,33813,10
26776,1524,89651,10
8350720,1061,975330,8226
4915145,3,56666,21727
721897,10820,64185,8461
4365727,296,1014723,29069
7769327,23,522612,30022
49105,3627,20515,311
339586,12636,51324,5780
4192023,431,50825,13878
4521,2237,11150,28
425745,641,22838,3489
237768,42935,203201,1178
4741842,912,374620,37014
7769289,23,522612,30026
19511,650,15474,1
9515954,3552,60022,52537
1455298,3474,53774,4043
8621913,590,335401,55929
177637,995,9812,2567
75440,2181,74681,1941
78662593,2431,32747,28630
21285,1140,10036,348
4702689,790,278969,30207
32430,31256,223269,170
1218982,27635,239151,5007
103754,2286,35576,505
3933856,7058,432799,35576
3933856,7058,432799,35576
7712,4187,59034,88
11486120,720,153467,19902
18437,16546,36702,28
7769288,23,522612,30026
56264,23739,114990,171
162228,92415,147397,233
375886,3693,96615,6026
1270122,7912,41907,9199
2298612,5782,88763,7472
491018,921,163514,4240
25160947,1218,853693,134001
55117,2719,58318,302
7288254,297,467367,13305
530855,1020,6000,2026
24185,1031,68612,90
8930955,67769,230458,70165
55163,962,213045,318
525418,360,11122,3586
1372997,4850,12796,1238
105666,6800,23939,351
730211,29333,203930,5436
17652400,88,816813,4114
4191953,431,50825,13872
3558,3243,105483,116
155251,1483,27508,1787
1056510,512,187478,10801
7769289,23,522612,30026
2896,4891,25626,30
9103565,1857,338239,50542
352695,0,1681,321
52927405,877,471442,215313
205816,261,766,324
36055,737,9371,181
4685,402,40824,23
3933857,7058,432799,35576
13736869,369,273678,48187
65964,881,55904,1154
239437,1010,5518,2824
88903,4995,53604,564
9103565,1857,338239,50542
1584789,38,6201,2958
1319308,791,81149,9476
13007,8,356,60
71972,877,8332,693
293545,1324,10859,1219
223551,7700,20096,810
440101,386770,79997,2465
4634583,1628,361486,43605
3790,2915,5222,88
1825605,3680,296831,14265
4386879,2545,16056,17252
1554238,5457,45540,482
1455363,3474,53774,4044
721897,10820,64185,8461
28751,550,50440,731
6919457,0,557732,6103
202964,1129,40893,1242
425193,1263,22055,2412
3933857,7058,432800,35576
7965315,2027,148055,17276
560230,613,84047,7607
176029,119308,444494,184
144080,21701,85517,190
6099862,941,39854,15203
846866,29145,93907,3818
1015461,5498,82131,3520
24620,4708,50177,83
33642,4561,23329,463
13736870,369,273678,48187
4412058,459,5725,10315
431803,1023,180204,2485
7769330,23,522612,30022
277774,19066,55932,4053
204891,1361,39748,1200
58079768,1104,373314,154346
5908384,300,17915,22471
3288298,10,180950,1743
44179,275,2220,128
326750,236515,2125,873
6447,6398,87347,3
230525,3929,292175,4958
3697456,413,709481,35368
2229610,0,11211,13166
16681241,0,7701,9703
