topic,nonrumour,rumour
Movie Genre,8,1
Musician,118,38
Athlete,116,31
Holiday,52,19
TV Episodes,77,25
Video Game Personality ,1,0
Sport,146,33
Journalist,667,456
Podcast,2,0
Video Game Publisher,1,0
Product,31,13
Entertainment Personality,237,85
Interests and Hobbies,344,98
Music Album,4,0
Politician,3044,1951
Person,4360,2438
Esports League,1,0
Movie,3,1
Multimedia Franchise,15,7
Hockey Game,1,0
Place,6,1
Reoccurring Trends,13,5
Viral Accounts,2,1
Baseball Game,11,3
Digital Creator,10,2
Sports Personality,34,16
Actor,118,64
Soccer Match,17,8
Ongoing News Story,10520,2856
Brand,2700,1071
Entities [Entity Service],560,146
Interests and Hobbies Category,629,189
Video Game,18,1
Sports League,182,48
Basketball Game,11,3
Brand Vertical,1265,499
Political Body,698,317
Brand Category,1702,667
Radio Station,1,1
TV Shows,318,87
Book Genre,6,1
Sports Event,63,17
Events [Entity Service],6856,1305
Music Genre,104,28
Sports Team,110,31
Concert,6,2
Video Game Hardware,3,0
Coach,8,4
Interests and Hobbies Vertical,592,163
