followers_count,following_count,tweet_count,listed_count
297405,56377,110931,5497
204307,1378,19779,2065
44956,4827,78131,649
25558883,11,24081,18002
6672761,142,6918,15366
1269998,7911,41911,9197
4026,3010,66956,3
227183,160,57179,2548
2231507,2163,39041,5360
68468,3322,198301,1697
30038,2153,39520,405
2681402,480,18797,6299
48189,1291,35165,352
653788,6226,40379,3842
363014,554,4075,1198
202733,1677,23709,112
472132,612,32061,2635
4020,4609,4439,2
1096598,18413,27164,4510
1395722,2382,32441,619
38896,7148,36968,221
275672,669,175474,8434
1021,487,1964,0
3692774,405,1261737,26126
2786,2395,17735,6
472971,1431,96903,3416
21876,845,3338,75
34145754,48,8194,39058
2760613,3782,8030,7866
3343945,10478,257208,25476
494330,498,8710,2078
7730640,1704,385464,30972
81963,17,4306,639
15803507,6821,318025,104336
2707092,1460,7530,23053
186260,95911,118745,980
4213298,675,147818,2908
2788796,964,18835,8329
319039,462,79916,2528
177342,85639,257766,231
1456875,2024,161460,16047
13729835,369,273572,48161
25148215,1216,852678,133976
146426,68102,97303,472
75151,5533,43365,1792
1374088,1026,382164,22885
17471219,488,384681,65504
5332350,199,162438,3516
8618294,590,335144,55917
92362,31821,105725,31
1645770,375,616292,2904
71401,5175,121758,746
58043411,1104,373133,154328
4914581,3,56655,21717
13100,2645,12005,233
124372,4325,36902,1717
9040694,625,73075,8860
361779,113,4817,3568
708664,1070,46694,7867
19157007,1714,426712,106506
1691929,5716,269050,18726
1136799,13795,65651,7022
708664,1070,46694,7867
167240,10771,13664,548
95541,1610,87370,1997
14958,951,140051,735
40952,10377,23007,442
199907,2828,30481,1582
968603,65108,332492,3190
1500027,643,24283,12865
56726,16272,81214,619
882410,586,54663,3964
97913,1257,98154,1309
1430052,418,42542,513
49878,23971,8794,507
1403358,6792,347053,9393
9276,2276,22030,132
4385350,2547,16054,17241
58043415,1104,373133,154328
770878,8939,76582,2057
257553,1852,86787,4895
6757,1181,9366,53
97308,2781,339763,2509
389102,50393,64361,5655
507239,1219,69203,7099
876300,1689,45284,5034
2176186,24,25361,2542
17104,44,7167,347
5407951,875,15192,13106
3322,1032,14863,114
2550181,4457,35134,8534
260229,2145,79447,3201
3695116,413,709309,35366
15660,209,2339,111
3930831,7056,432163,35569
601261,784,9950,9102
7765030,23,522204,30009
36729,811,10404,154
9099346,1857,338058,50524
39062,89,84297,774
1758851,195452,51362,5230
59729,3210,23856,461
135036,585,80393,522
2521880,1535,248710,8504
9099346,1857,338058,50524
3409773,24097,22773,14486
9099346,1857,338058,50524
1218513,27622,238874,5007
24271,94,62056,551
2727608,212,2970,2361
2574880,775,375609,8397
5037809,29,3602,772
10623082,4624,19572,51618
1540336,3066,8538,7287
711381,5506,21437,4932
588775,110,92803,1029
716541,5517,50850,7262
2795652,814,55776,12030
11212841,1752,69288,35061
11009301,39,5158,36532
140621,6775,11883,1171
1758827,195434,51362,5227
301028,351,602450,4039
52895948,878,471183,215269
1314364,445,4015,3452
25148204,1216,852683,133976
4895,1657,24757,69
8618325,590,335144,55917
189747,1102,9366,2039
4362683,296,1013966,29063
205846,261,766,323
204569,150,91504,5625
61379,7969,51312,181
8929306,67764,230369,70162
3930847,7056,432165,35570
7404351,430,13027,24636
28784,3786,29447,273
2430880,1490,159498,21257
424818,204,18553,1415
1481992,247,28006,3402
177625,12726,202853,1205
2113795,60,18900,8189
183782,135654,133947,331
4362685,296,1013966,29063
25148208,1216,852683,133976
1691931,5716,269050,18726
50518,1038,18954,279
549605,460,97860,4001
657212,1593,69116,10045
1153814,629,7079,2187
1690,2610,26176,29
91459502,115,17712,93725
60895,1004,54342,2040
36451683,18,345718,131146
25558784,11,24081,18005
8471,1655,6312,79
10217182,1556,18151,23713
596113,38044,11605,385
451166,1549,51725,1006
1691954,5716,269049,18727
19832230,1065,371518,125434
1128218,1782,23419,3799
3343930,10478,257209,25476
124552,157,67236,2582
5530,1413,105827,220
11261,6155,102507,112
16045,2537,108707,252
1685111,692,3482,7450
602576,2394,71428,1459
1318626,791,81125,9475
3692726,405,1261739,26128
18328,120,32746,199
379669,2952,17441,1537
5837470,10,18634,20166
11476200,719,153398,19883
246657,2885,33450,1157
3820242,543,15827,14119
320484,12612,111510,2368
1212119,423,77935,5470
1282519,586,37861,7314
1458794,526,21136,14712
227774,2048,47448,6958
9809842,21,11045,1331
