neg,neu,pos,compound
0.0,1.0,0.0,0.0
0.145,0.725,0.13,-0.1531
0.273,0.727,0.0,-0.8555
0.0,1.0,0.0,0.0
0.423,0.577,0.0,-0.6597
0.141,0.763,0.096,-0.3182
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.322,0.678,0.0,-0.765
0.0,0.934,0.066,0.3875
0.0,0.874,0.126,0.7096
0.082,0.874,0.044,-0.194
0.0,1.0,0.0,0.0
0.0,0.893,0.107,0.5719
0.211,0.789,0.0,-0.8779
0.425,0.377,0.198,-0.5267
0.087,0.913,0.0,-0.2732
0.0,1.0,0.0,0.0
0.0,0.823,0.177,0.4215
0.0,1.0,0.0,0.0
0.0,0.573,0.427,0.8979
0.157,0.654,0.188,0.4118
0.0,0.871,0.129,0.7096
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.153,0.792,0.055,-0.6037
0.0,0.947,0.053,0.128
0.0,0.968,0.032,0.0772
0.0,0.679,0.321,0.6369
0.279,0.721,0.0,-0.7351
0.229,0.613,0.158,-0.5569
0.0,0.715,0.285,0.6114
0.123,0.695,0.182,0.3818
0.0,0.859,0.141,0.6249
0.062,0.77,0.168,0.5927
0.045,0.899,0.056,0.128
0.148,0.764,0.088,-0.5813
0.147,0.755,0.098,-0.5683
0.094,0.85,0.057,-0.4278
0.204,0.628,0.168,-0.1779
0.29,0.668,0.041,-0.8689
0.0,0.894,0.106,0.3612
0.076,0.924,0.0,-0.2023
0.143,0.705,0.152,0.1431
0.0,1.0,0.0,0.0
0.281,0.719,0.0,-0.765
0.192,0.808,0.0,-0.6124
0.0,0.698,0.302,0.5994
0.283,0.717,0.0,-0.7964
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.171,0.829,0.0,-0.4389
0.064,0.851,0.085,0.2263
0.0,0.923,0.077,0.1531
0.2,0.8,0.0,-0.5423
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.775,0.225,0.8678
0.167,0.833,0.0,-0.296
0.2,0.8,0.0,-0.3612
0.1,0.9,0.0,-0.4404
0.039,0.909,0.052,0.1561
0.0,0.862,0.138,0.6652
0.104,0.822,0.073,-0.5255
0.068,0.862,0.07,0.0258
0.139,0.696,0.165,0.1531
0.25,0.75,0.0,-0.907
0.24,0.76,0.0,-0.6249
0.0,0.745,0.255,0.836
0.0,0.743,0.257,0.6187
0.099,0.901,0.0,-0.4927
0.284,0.647,0.07,-0.9052
0.129,0.66,0.211,0.3612
0.0,1.0,0.0,0.0
0.39,0.506,0.105,-0.9509
0.0,0.714,0.286,0.5574
0.198,0.711,0.091,-0.4019
0.045,0.869,0.086,0.25
0.0,1.0,0.0,0.0
0.224,0.683,0.093,-0.8182
0.293,0.707,0.0,-0.9337
0.057,0.817,0.126,0.3107
0.0,1.0,0.0,0.0
0.0,0.964,0.036,0.0772
0.0,0.902,0.098,0.4824
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.097,0.903,0.0,-0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.069,0.868,0.062,-0.0772
0.227,0.724,0.05,-0.8832
0.102,0.762,0.137,0.0258
0.0,0.915,0.085,0.3612
0.0,0.753,0.247,0.5574
0.257,0.702,0.042,-0.866
0.066,0.934,0.0,-0.0516
0.087,0.849,0.064,-0.25
0.106,0.792,0.102,-0.0258
0.39,0.61,0.0,-0.4939
0.183,0.784,0.034,-0.8402
0.121,0.879,0.0,-0.5106
0.122,0.57,0.308,0.8007
0.0,0.915,0.085,0.0772
0.216,0.784,0.0,-0.7845
0.087,0.783,0.13,0.4404
0.106,0.792,0.102,-0.0258
0.423,0.577,0.0,-0.296
0.06,0.94,0.0,-0.4215
0.029,0.769,0.202,0.6705
0.0,0.841,0.159,0.5574
0.0,1.0,0.0,0.0
0.106,0.894,0.0,-0.2235
0.267,0.678,0.054,-0.875
0.0,0.58,0.42,0.4404
0.0,0.913,0.087,0.3182
0.112,0.71,0.178,0.4019
0.236,0.627,0.137,-0.6478
0.178,0.822,0.0,-0.3818
0.0,0.727,0.273,0.7579
0.0,1.0,0.0,0.0
0.259,0.741,0.0,-0.9402
0.0,1.0,0.0,0.0
0.0,0.935,0.065,0.4019
0.193,0.807,0.0,-0.4767
0.0,0.758,0.242,0.4939
0.231,0.769,0.0,-0.3612
0.128,0.872,0.0,-0.296
0.119,0.693,0.188,0.5499
0.0,0.809,0.191,0.5106
0.0,0.942,0.058,0.3818
0.077,0.771,0.152,0.5267
0.142,0.791,0.067,-0.6484
0.184,0.816,0.0,-0.7684
0.089,0.911,0.0,-0.2249
0.183,0.621,0.196,0.2023
0.0,1.0,0.0,0.0
0.109,0.839,0.052,-0.3612
0.071,0.829,0.099,0.0943
0.077,0.923,0.0,-0.4588
0.296,0.704,0.0,-0.2732
0.089,0.862,0.049,-0.4682
0.0,0.777,0.223,0.4871
0.0,1.0,0.0,0.0
0.0,0.888,0.112,0.4404
0.195,0.746,0.059,-0.5207
0.0,0.81,0.19,0.8544
0.276,0.724,0.0,-0.8812
0.192,0.808,0.0,-0.2263
0.146,0.684,0.171,0.0839
0.0,1.0,0.0,0.0
0.0,0.377,0.623,0.5106
0.0,0.965,0.035,0.0387
0.417,0.583,0.0,-0.8402
0.0,0.612,0.388,0.8588
0.0,1.0,0.0,0.0
0.248,0.642,0.11,-0.4053
0.0,0.87,0.13,0.2263
0.0,1.0,0.0,0.0
