hashtag,nonrumour,rumour
,5,1
Pittsburgh,1,0
Texas,6,0
11mai2020.,1,0
MaskUpOhio,1,0
Madagascar’s,1,0
TrumpDeathToll95K,1,0
BlockCovid19,1,0
AbbottBetrayedTexas,2,0
California,2,0
Covid19...,1,0
NorthernIreland:,1,0
BeActive,1,0
NikeGate,0,1
Jackass,1,0
RahulBajaj,1,0
ChimeIn,1,0
Cdnpoli,5,0
PMQs,7,0
Africa,2,1
EducationMinisterGoesLive,2,1
INPICTURES,1,0
scamdemic,1,0
indiraGandhi,1,0
HealthForAll,3,0
CorruptGOP,1,1
Immunity,1,0
"StayHome,",1,1
Hancock,1,0
ABCNews-,1,0
FairElectionCrisis,1,0
CoronavirusIndia.,1,0
PMCARES,2,0
TheTrumpVirus,1,0
ModiMadness.,0,1
Covid19Brasil,1,0
DemocratPork,0,1
BriefButSpectacular,1,0
trump2020,1,0
AWANIpagi,1,1
PaulRyan,0,1
Islamophobia_In_India,2,0
TrumpIsA_DANGER_ToAmerica,0,1
MondayMotivaton,2,1
bcpoli,1,1
Lockdown,3,0
londonprotest,1,0
KeepThePromise,1,0
"Afghanistan,",1,0
PublicService,1,0
CoronavirusFAQs,0,1
protest2020,1,0
WeAreNATO,1,0
british,1,0
WhereIsBoris,1,0
PMCares,0,1
IndiaUnitedAgainstCovid,1,0
PM,1,0
AllLivesMatters,1,0
PlanetOfTheApes,1,0
leadership,0,1
F35DemoTeam,1,0
BSL,1,0
JeremyVine,2,0
Ruthies,1,0
CoronaVirusLockDown,1,0
Florida's,1,0
karensgonwild,1,0
BAME,1,0
StayHomeStaySafe,5,1
"SouthKorea,",1,0
NoMaskNoTacos,1,0
VoteBidenToSaveAmerica🗣,0,1
Coronapocalypse,0,1
tx,1,0
21daysLockdown,1,0
ListenToTheDoctor,1,0
Africans,2,0
BHNasional,1,1
mobility,1,0
bbcqt,3,0
AVFC,0,1
SafeSeptember🙏🏻🏫,1,0
TrumpIsALoser,1,0
CovidLogic,0,1
COVID19-related,1,0
BreakTheChain,1,0
golf,0,1
NoSalgasdeTuCasa,1,0
60Mins,1,0
seniors,2,0
WebQoof,1,0
BBCPanorama,3,0
Dorset,1,0
newsrelease,1,0
COVID?19,1,0
