neg,neu,pos,compound
0.098,0.837,0.065,-0.128
0.333,0.667,0.0,-0.6705
0.17,0.716,0.114,-0.3254
0.041,0.71,0.249,0.9136
0.068,0.878,0.055,-0.1725
0.0,1.0,0.0,0.0
0.133,0.758,0.109,-0.2866
0.089,0.809,0.102,0.1531
0.0,0.949,0.051,0.128
0.151,0.849,0.0,-0.6249
0.045,0.777,0.178,0.7057
0.156,0.755,0.089,-0.4094
0.08,0.92,0.0,-0.5994
0.0,1.0,0.0,0.0
0.061,0.564,0.375,0.9648
0.086,0.678,0.236,0.8316
0.139,0.811,0.05,-0.5106
0.192,0.808,0.0,-0.8591
0.0,1.0,0.0,0.0
0.097,0.903,0.0,-0.4019
0.0,0.637,0.363,0.8658
0.133,0.867,0.0,-0.3818
0.137,0.863,0.0,-0.4019
0.172,0.768,0.06,-0.6557
0.168,0.832,0.0,-0.7564
0.0,0.893,0.107,0.7405
0.098,0.842,0.06,-0.2732
0.255,0.61,0.135,-0.4883
0.153,0.847,0.0,-0.7003
0.071,0.929,0.0,-0.1531
0.245,0.755,0.0,-0.5994
0.226,0.641,0.134,-0.5106
0.244,0.756,0.0,-0.5859
0.0,0.798,0.202,0.872
0.291,0.593,0.116,-0.7845
0.055,0.867,0.077,0.2263
0.0,1.0,0.0,0.0
0.06,0.866,0.075,-0.128
0.082,0.597,0.321,0.8225
0.097,0.787,0.116,0.1027
0.214,0.578,0.208,-0.0258
0.254,0.746,0.0,-0.8176
0.0,0.861,0.139,0.4404
0.092,0.792,0.116,0.0774
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.055,0.945,0.0,-0.296
0.07,0.756,0.174,0.5574
0.0,0.414,0.586,0.8585
0.0,0.587,0.413,0.9643
0.179,0.655,0.167,-0.0516
0.2,0.8,0.0,-0.775
0.0,0.821,0.179,0.8066
0.0,0.918,0.082,0.5267
0.075,0.764,0.161,0.4018
0.0,1.0,0.0,0.0
0.074,0.713,0.214,0.7269
0.146,0.793,0.061,-0.6249
0.206,0.794,0.0,-0.3818
0.118,0.778,0.104,-0.1779
0.082,0.816,0.102,0.2516
0.0,0.789,0.211,0.6542
0.041,0.871,0.087,0.296
0.087,0.819,0.093,-0.1901
0.0,1.0,0.0,0.0
0.0,0.796,0.204,0.5574
0.102,0.721,0.177,0.5423
0.0,0.864,0.136,0.7003
0.158,0.724,0.118,-0.1531
0.142,0.858,0.0,-0.7003
0.0,0.922,0.078,0.4019
0.063,0.883,0.054,-0.1119
0.0,0.833,0.167,0.7003
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.119,0.881,0.0,-0.6124
0.0,1.0,0.0,0.0
0.0,0.947,0.053,0.4215
0.0,1.0,0.0,0.0
0.13,0.728,0.142,0.3182
0.0,0.824,0.176,0.5622
0.15,0.85,0.0,-0.6597
0.148,0.852,0.0,-0.3818
0.0,0.818,0.182,0.4588
0.433,0.567,0.0,-0.7964
0.0,0.766,0.234,0.7506
0.284,0.613,0.103,-0.6908
0.0,1.0,0.0,0.0
0.038,0.819,0.143,0.4767
0.174,0.704,0.122,-0.2244
0.028,0.972,0.0,-0.0516
0.0,0.836,0.164,0.6908
0.071,0.929,0.0,-0.296
0.036,0.9,0.063,0.2732
0.06,0.817,0.123,0.5574
0.0,1.0,0.0,0.0
0.139,0.697,0.163,0.3182
0.0,0.949,0.051,0.0772
0.244,0.686,0.07,-0.8625
0.082,0.689,0.23,0.6705
0.0,1.0,0.0,0.0
0.085,0.596,0.319,0.9186
0.121,0.636,0.243,0.2732
0.0,0.909,0.091,0.2732
0.109,0.807,0.084,-0.2023
0.104,0.783,0.113,0.1027
0.112,0.888,0.0,-0.6486
0.15,0.694,0.156,0.0258
0.216,0.784,0.0,-0.783
0.0,0.844,0.156,0.765
0.0,1.0,0.0,0.0
0.084,0.812,0.104,0.2415
0.064,0.604,0.333,0.9273
0.224,0.776,0.0,-0.9246
0.202,0.62,0.178,-0.0772
0.118,0.676,0.206,0.7645
0.104,0.844,0.051,-0.34
0.118,0.705,0.176,0.3182
0.0,0.912,0.088,0.4389
0.0,1.0,0.0,0.0
0.0,0.926,0.074,0.4201
0.126,0.698,0.176,0.3034
0.0,1.0,0.0,0.0
0.051,0.949,0.0,-0.3818
0.08,0.784,0.135,0.4753
0.232,0.565,0.202,0.0
0.229,0.63,0.14,-0.2366
0.0,1.0,0.0,0.0
0.167,0.833,0.0,-0.802
0.245,0.687,0.069,-0.7719
0.126,0.6,0.275,0.7884
0.0,0.786,0.214,0.7959
0.064,0.655,0.281,0.9387
0.0,0.782,0.218,0.9285
0.242,0.672,0.086,-0.8658
0.0,1.0,0.0,0.0
0.211,0.789,0.0,-0.8442
0.112,0.773,0.116,0.0258
0.176,0.824,0.0,-0.4939
0.0,0.67,0.33,0.7125
0.0,0.932,0.068,0.4939
0.0,0.886,0.114,0.5574
0.078,0.858,0.064,-0.1796
0.0,0.939,0.061,0.4404
0.048,0.907,0.045,-0.0258
0.0,1.0,0.0,0.0
0.106,0.894,0.0,-0.5994
0.216,0.784,0.0,-0.6597
0.096,0.862,0.042,-0.5106
0.0,1.0,0.0,0.0
0.0,0.784,0.216,0.8513
0.0,0.919,0.081,0.3818
0.0,1.0,0.0,0.0
0.0,0.974,0.026,0.0258
0.0,0.795,0.205,0.4767
0.0,0.887,0.113,0.3182
0.243,0.757,0.0,-0.6705
0.123,0.818,0.059,-0.34
0.079,0.732,0.189,0.5267
0.12,0.815,0.065,-0.3182
0.129,0.871,0.0,-0.7003
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.725,0.275,0.3939
0.176,0.73,0.093,-0.6249
0.195,0.805,0.0,-0.8173
0.085,0.915,0.0,-0.34
0.111,0.889,0.0,-0.2808
0.0,0.907,0.093,0.4738
0.106,0.894,0.0,-0.5423
0.135,0.822,0.043,-0.5994
0.027,0.794,0.179,0.8126
0.073,0.831,0.096,0.0875
0.0,1.0,0.0,0.0
0.172,0.828,0.0,-0.68
0.059,0.941,0.0,-0.4215
0.209,0.791,0.0,-0.5719
0.039,0.906,0.055,0.2023
0.0,1.0,0.0,0.0
0.064,0.936,0.0,-0.4215
0.324,0.5,0.176,-0.7351
0.0,1.0,0.0,0.0
0.158,0.686,0.155,0.2144
0.0,0.843,0.157,0.4215
0.0,0.943,0.057,0.3182
0.121,0.879,0.0,-0.296
0.073,0.818,0.109,0.1531
0.0,1.0,0.0,0.0
0.0,0.902,0.098,0.6523
0.0,0.842,0.158,0.4588
0.141,0.683,0.177,0.1779
0.0,0.902,0.098,0.3578
0.0,0.894,0.106,0.4939
0.0,0.783,0.217,0.3612
0.04,0.96,0.0,-0.1027
0.0,0.895,0.105,0.4019
0.0,1.0,0.0,0.0
0.066,0.879,0.055,-0.1531
0.0,0.714,0.286,0.5574
0.038,0.898,0.064,0.249
0.262,0.738,0.0,-0.5994
0.0,1.0,0.0,0.0
0.182,0.69,0.129,-0.4019
0.082,0.776,0.142,0.34
0.095,0.828,0.076,0.1759
0.164,0.836,0.0,-0.8137
0.049,0.883,0.067,0.128
0.409,0.468,0.123,-0.7096
0.0,1.0,0.0,0.0
0.079,0.921,0.0,-0.4767
0.205,0.795,0.0,-0.7351
0.0,1.0,0.0,0.0
0.159,0.784,0.057,-0.5299
0.0,1.0,0.0,0.0
0.052,0.71,0.237,0.872
0.188,0.649,0.162,-0.1027
0.0,0.909,0.091,0.4767
0.0,1.0,0.0,0.0
0.083,0.849,0.068,0.2177
0.2,0.718,0.082,-0.7952
0.124,0.763,0.112,-0.0772
0.159,0.767,0.074,-0.5672
0.085,0.808,0.108,0.1531
0.0,0.852,0.148,0.5106
0.095,0.905,0.0,-0.2263
0.0,0.726,0.274,0.9269
0.12,0.88,0.0,-0.6249
0.0,1.0,0.0,0.0
0.366,0.59,0.044,-0.9618
